Wavelength[nm],ADC
900.284,8698
900.734,8954
901.183,8325
901.632,8539
902.081,8441
902.530,8826
902.980,8976
903.429,10034
903.878,9639
904.328,10754
904.777,10208
905.227,9757
905.676,10178
906.125,8407
906.575,8888
907.024,9637
907.474,7538
907.923,8795
908.373,8836
908.823,8734
909.272,8337
909.722,8901
910.171,8792
910.621,9633
911.071,9368
911.520,10398
911.970,12628
912.420,12323
912.870,11269
913.319,10091
913.769,9061
914.219,9745
914.669,10094
915.119,12379
915.569,17745
916.019,24431
916.469,22371
916.919,17787
917.369,13578
917.819,11139
918.269,10298
918.719,9238
919.169,9302
919.619,8432
920.069,9484
920.519,9004
920.969,9104
921.419,11108
921.870,9126
922.320,8820
922.770,9662
923.220,9486
923.671,8769
924.121,9375
924.571,8670
925.021,8075
925.472,7476
925.922,8526
926.373,8493
926.823,9145
927.273,8937
927.724,8717
928.174,9242
928.625,8727
929.076,7994
929.526,8832
929.977,9078
930.427,8824
930.878,8642
931.328,8393
931.779,7725
932.230,8185
932.680,8674
933.131,8140
933.582,8694
934.033,8099
934.483,8177
934.934,8457
935.385,8417
935.836,9225
936.287,8958
936.737,7973
937.188,8006
937.639,7855
938.090,8532
938.541,8500
938.992,8445
939.443,7494
939.894,7923
940.345,8717
940.796,8217
941.247,8454
941.698,9157
942.149,7981
942.601,8169
943.052,9115
943.503,8010
943.954,8352
944.405,7828
944.856,8127
945.308,8434
945.759,8341
946.210,8188
946.661,7534
947.113,8853
947.564,8311
948.015,8885
948.467,8386
948.918,7841
949.370,7452
949.821,8093
950.272,8073
950.724,8294
951.175,8913
951.627,9300
952.078,8583
952.530,7851
952.981,7411
953.433,8145
953.885,7898
954.336,7595
954.788,8343
955.240,7645
955.691,8036
956.143,8255
956.595,8326
957.046,8012
957.498,8673
957.950,7920
958.402,8183
958.853,8442
959.305,8861
959.757,7602
960.209,9358
960.661,7868
961.113,8269
961.564,9367
962.016,8117
962.468,7304
962.920,7857
963.372,9155
963.824,8447
964.276,8778
964.728,8412
965.180,9565
965.632,7941
966.084,8733
966.536,8786
966.989,9817
967.441,8626
967.893,9020
968.345,8754
968.797,8844
969.249,8621
969.702,7853
970.154,8123
970.606,8389
971.058,8498
971.511,8308
971.963,8371
972.415,8524
972.867,8245
973.320,9182
973.772,8346
974.225,9222
974.677,9540
975.129,8087
975.582,9575
976.034,9058
976.487,10114
976.939,9605
977.392,9849
977.844,10653
978.297,11291
978.749,15167
979.202,25495
979.654,33640
980.107,31333
980.560,23647
981.012,18935
981.465,15711
981.918,12911
982.370,11731
982.823,10826
983.276,9734
983.728,9875
984.181,9680
984.634,10099
985.087,8787
985.539,9203
985.992,9258
986.445,9089
986.898,9480
987.351,9464
987.804,8858
988.256,8940
988.709,9506
989.162,9114
989.615,10050
990.068,9219
990.521,9268
990.974,9054
991.427,9342
991.880,9775
992.333,9386
992.786,9561
993.239,9619
993.692,9371
994.145,9026
994.598,8899
995.052,8153
995.505,9062
995.958,8795
996.411,8548
996.864,9524
997.317,8692
997.771,8880
998.224,8289
998.677,8468
999.130,7716
999.583,9104
1000.037,8610
1000.490,9021
1000.943,7736
1001.397,8588
1001.850,7996
1002.303,7799
1002.757,8702
1003.210,8546
1003.663,8640
1004.117,8356
1004.570,8602
1005.024,9343
1005.477,8187
1005.931,8511
1006.384,8241
1006.838,8454
1007.291,8203
1007.745,8919
1008.198,7893
1008.652,8066
1009.105,8405
1009.559,8982
1010.012,7203
1010.466,8026
1010.920,8507
1011.373,8631
1011.827,8434
1012.280,8014
1012.734,8544
1013.188,8922
1013.641,8308
1014.095,7980
1014.549,8665
1015.003,8315
1015.456,9493
1015.910,8124
1016.364,9208
1016.818,8201
1017.271,9116
1017.725,8544
1018.179,8964
1018.633,7235
1019.087,8781
1019.541,8030
1019.995,8749
1020.448,8806
1020.902,9092
1021.356,9315
1021.810,8605
1022.264,8959
1022.718,7904
1023.172,8042
1023.626,8583
1024.080,8084
1024.534,8679
1024.988,8856
1025.442,7587
1025.896,8274
1026.350,8321
1026.804,8680
1027.258,9214
1027.712,7576
1028.167,7809
1028.621,8698
1029.075,7961
1029.529,8712
1029.983,8682
1030.437,8644
1030.891,8344
1031.346,8245
1031.800,8202
1032.254,7930
1032.708,7977
1033.162,7966
1033.617,7903
1034.071,7912
1034.525,9307
1034.979,7665
1035.434,8662
1035.888,7942
1036.342,9290
1036.797,8016
1037.251,8250
1037.705,8105
1038.160,7676
1038.614,8379
1039.068,7662
1039.523,7965
1039.977,8259
1040.432,7989
1040.886,7714
1041.341,7423
1041.795,7957
1042.249,8216
1042.704,8133
1043.158,8037
1043.613,8116
1044.067,8758
1044.522,8096
